Name,Price,Quantity
"Champagne - Brights, Dry",49,390
Vodka - Smirnoff,10,391
"Seedlings - Buckwheat, Organic",92,392
Straws - Cocktale,63,393
Pastry - Plain Baked Croissant,100,394
Plasticknivesblack,41,395
Dill Weed - Fresh,30,396
Ecolab Digiclean Mild Fm,67,397
Pears - Fiorelle,13,398
Wine - Fume Blanc Fetzer,65,399
Chocolate - Unsweetened,79,400
Grand Marnier,75,401
"Nut - Hazelnut, Whole",72,402
Wine - Cousino Macul Antiguas,88,403
Apple - Custard,74,404
Daikon Radish,37,405
"Lamb - Leg, Diced",38,406
Beef - Top Sirloin - Aaa,41,407
Lighter - Bbq,64,408
Lamb - Whole Head Off,70,409
Cocoa Powder - Natural,75,410
Sprouts Dikon,100,411
Pepper - Chilli Seeds Mild,40,412
"Pasta - Penne Primavera, Single",67,413
"Lentils - Green, Dry",54,414
Sword Pick Asst,11,415
Beef - Salted,42,416
"Soup - Knorr, Veg / Beef",19,417
Pie Shell - 9,17,418
Swordfish Loin Portions,29,419
Sorrel - Fresh,78,420
Mcgillicuddy Vanilla Schnap,89,421
Foil Cont Round,72,422
Wine - Sogrape Mateus Rose,2,423
Cheese - Cheddarsliced,69,424
Lamb Tenderloin Nz Fr,34,425
Sauce - Thousand Island,15,426
Scallops - In Shell,51,427
Cloves - Ground,96,428
Flour - Bread,22,429
Salt And Pepper Mix - White,40,430
"Pasta - Cappellini, Dry",75,431
Jameson - Irish Whiskey,77,432
Chocolate - Dark,64,433
Wine - Vovray Sec Domaine Huet,26,434
Oil - Macadamia,32,435
Soup - Campbells Mac N Cheese,93,436
Wine - Cava Aria Estate Brut,81,437
"Lid - Translucent, 3.5 And 6 Oz",67,438
Soup - Campbells Pasta Fagioli,61,439
Towels - Paper / Kraft,61,440
Wine - Vidal Icewine Magnotta,36,441
Juice - Mango,12,442
Mace,93,443
Beer - Maudite,64,444
Wine - Baron De Rothschild,16,445
Nantucket Pine Orangebanana,35,446
"Quail - Eggs, Fresh",27,447
Cranberries - Fresh,37,448
Pate - Peppercorn,65,449
Skirt - 29 Foot,49,450
Silicone Parch. 16.3x24.3,6,451
Crab - Soft Shell,1,452
Compound - Mocha,97,453
Southern Comfort,57,454
"Tomatoes - Plum, Canned",39,455
"Seedlings - Buckwheat, Organic",14,456
Foil Cont Round,59,457
Cheese - Asiago,90,458
Food Colouring - Green,28,459
"Stock - Beef, Brown",61,460
Danishes - Mini Cheese,73,461
Duck - Legs,79,462
Sprouts - China Rose,7,463
Amarula Cream,70,464
Wine - Casablanca Valley,32,465
Muffin Mix - Blueberry,98,466
Soup Campbells - Tomato Bisque,100,467
Ecolab Silver Fusion,66,468
"Potatoes - Purple, Organic",68,469
Blueberries - Frozen,51,470
Jameson Irish Whiskey,36,471
"Beef - Baby, Liver",15,472
Cookie Trail Mix,63,473
Whmis - Spray Bottle Trigger,44,474
Wine - Hardys Bankside Shiraz,62,475
Ecolab - Medallion,43,476
Cheese - Taleggio D.o.p.,57,477
Pastry - Raisin Muffin - Mini,82,478
Onion Powder,17,479
Cups 10oz Trans,46,480
Butter Sweet,40,481
"Rosemary - Primerba, Paste",48,482
Petite Baguette,85,483
French Pastry - Mini Chocolate,17,484
Sausage - Chorizo,33,485
Poppy Seed,42,486
"Beef - Ox Tail, Frozen",34,487
Beef - Kobe Striploin,25,488
Truffle - Whole Black Peeled,74,489
Pork - Liver,23,490
Appetizer - Tarragon Chicken,80,491
Rabbit - Saddles,63,492
Cheese - Grana Padano,63,493
Gatorade - Orange,71,494
Ice Cream Bar - Oreo Sandwich,78,495
"Napkin - Beverge, White 2 - Ply",10,496
Scallops 60/80 Iqf,50,497
Croissants Thaw And Serve,60,498
Cookies - Assorted,98,499
Pork - Sausage Casing,54,500
Juice - Apple 284ml,38,501
Bread - Hot Dog Buns,41,502
Cheese - Valancey,42,503
Oil - Olive Bertolli,52,504
Bread - Raisin,44,505
Pimento - Canned,60,506
Wine - Cabernet Sauvignon,34,507
Table Cloth 54x54 White,57,508
Brandy Cherry - Mcguinness,55,509
Muffin Mix - Carrot,24,510
Salami - Genova,82,511
Nantucket Orange Juice,14,512
Corn Syrup,86,513
Wine - Chablis 2003 Champs,25,514
Oregano - Fresh,7,515
Bread - Pumpernickel,38,516
Juice - Lime,83,517
"Pork - Tenderloin, Frozen",6,518
Cookie Trail Mix,11,519
Yokaline,68,520
Veal - Heart,24,521
Steampan - Half Size Shallow,72,522
Carrots - Jumbo,51,523
Galliano,69,524
Kahlua,31,525
Muffin - Bran Ind Wrpd,21,526
Chickhen - Chicken Phyllo,32,527
Wine - Charddonnay Errazuriz,71,528
Cocktail Napkin Blue,66,529
Appetizer - Escargot Puff,19,530
"Turkey - Whole, Fresh",26,531
Bagel - Ched Chs Presliced,19,532
"Bread - Roll, Soft White Round",44,533
Scallops - 20/30,76,534
Dragon Fruit,58,535
Kellogs Special K Cereal,39,536
Salmon Steak - Cohoe 8 Oz,89,537
Sprite - 355 Ml,13,538
"Sauce - Gravy, Au Jus, Mix",41,539
Buffalo - Tenderloin,80,540
Pop Shoppe Cream Soda,10,541
Cookie - Dough Variety,1,542
Bread - Crusty Italian Poly,27,543
"Pork - Loin, Center Cut",25,544
"Iced Tea - Lemon, 340ml",65,545
Pie Box - Cello Window 2.5,86,546
Icecream - Dstk Super Cone,84,547
Wine - Lamancha Do Crianza,49,548
Wine - Delicato Merlot,9,549
Ecolab - Lime - A - Way 4/4 L,95,550
Bread - Frozen Basket Variety,43,551
Cheese - Cream Cheese,33,552
Chips - Potato Jalapeno,48,553
Juice - Apple 284ml,94,554
Cake - Lemon Chiffon,67,555
Bread - Frozen Basket Variety,80,556
Steel Wool S.o.s,48,557
Veal - Inside,37,558
Potatoes - Mini White 3 Oz,40,559
Wine - Rosso Del Veronese Igt,91,560
Salmon Atl.whole 8 - 10 Lb,95,561
"Lamb - Leg, Bone In",50,562
Cheese - Mozzarella,65,563
Towel Dispenser,91,564
Beans - Fava Fresh,88,565
"Beef - Tenderlion, Center Cut",77,566
Chocolate - Dark,94,567
Puree - Kiwi,12,568
Remy Red,62,569
Cabbage Roll,54,570
Bagel - Everything Presliced,5,571
"Fish - Halibut, Cold Smoked",53,572
Muffin - Mix - Mango Sour Cherry,42,573
Cinnamon Rolls,60,574
Pasta - Agnolotti - Butternut,74,575
Cake - Bande Of Fruit,29,576
Milkettes - 2%,46,577
Bread - Rye,49,578
Mustard - Seed,86,579
"Salmon - Atlantic, Skin On",13,580
Egg - Salad Premix,63,581
Daikon Radish,69,582
Bread - Petit Baguette,76,583
"Cheese - Havarti, Roasted Garlic",88,584
Wonton Wrappers,18,585
Muffin - Banana Nut Individual,67,586
Wine - Saint Emilion Calvet,24,587
Tea - Black Currant,5,588
Water - Evian 355 Ml,53,589
Veal - Sweetbread,32,590
"Artichokes - Knobless, White",55,591
Bread Roll Foccacia,18,592
Beef Ground Medium,56,593
Island Oasis - Magarita Mix,48,594
Spring Roll Veg Mini,26,595
"Cheese - Mozzarella, Shredded",8,596
Lamb - Whole Head Off,77,597
Cafe Royale,100,598
Pernod,11,599
Eggplant Oriental,56,600
"Zucchini - Mini, Green",91,601
Eggplant Oriental,57,602
Tea - Herbal - 6 Asst,73,603
"Beef - Kindney, Whole",26,604
Bread - Corn Muffaleta Onion,91,605
Pork Loin Bine - In Frenched,85,606
Juice - Ocean Spray Cranberry,33,607
Beets - Pickled,11,608
Fond - Neutral,15,609
Cheese - Swiss,53,610
Sauce - Oyster,18,611
Tomatoes - Heirloom,92,612
Salt - Kosher,58,613
Pickles - Gherkins,82,614
Ginsing - Fresh,100,615
Truffle Paste,61,616
Fond - Neutral,70,617
Jack Daniels,1,618
Wine - Stoneliegh Sauvignon,3,619
Icecream - Dstk Super Cone,49,620
Soup - Campbells Asian Noodle,99,621
Grapefruit - White,33,622
Wine - Tio Pepe Sherry Fino,68,623
Green Scrubbie Pad H.duty,23,624
Mustard - Seed,45,625
"Potatoes - Purple, Organic",23,626
Neckerchief Blck,81,627
Sauce - Fish 25 Ozf Bottle,80,628
Bagel - Ched Chs Presliced,78,629
Pastry - Apple Large,58,630
Butter - Pod,49,631
Soup - Campbells Chili,44,632
Sobe - Orange Carrot,99,633
Tomatoes - Hot House,30,634
Tea - Herbal I Love Lemon,81,635
"Mushroom - Morels, Dry",24,636
Wine - Cotes Du Rhone Parallele,80,637
Pepper - Scotch Bonnet,5,638
"Corn - Cream, Canned",95,639
Pancetta,96,640
Wine - Cave Springs Dry Riesling,16,641
Tea - Black Currant,79,642
"Nut - Almond, Blanched, Ground",10,643
Mix - Cocktail Ice Cream,51,644
Oregano - Fresh,89,645
Oil - Grapeseed Oil,16,646
Lamb Rack - Ontario,10,647
"Syrup - Golden, Lyles",42,648
Table Cloth 81x81 White,61,649
Pepper - Red Bell,51,650
Shrimp - Tiger 21/25,10,651
Sauce - Chili,15,652
Ice Cream - Strawberry,52,653
Creme De Menthe Green,44,654
Pastry - Plain Baked Croissant,21,655
Tarragon - Fresh,47,656
Syrup - Monin - Granny Smith,24,657
Wine - Barbera Alba Doc 2001,19,658
"Cup - 3.5oz, Foam",93,659
Steel Wool S.o.s,97,660
"Stock - Beef, White",48,661
"Cheese - Cheddar, Medium",72,662
Beer - True North Strong Ale,66,663
Bread Roll Foccacia,58,664
Brandy - Bar,84,665
Chicken - Bones,25,666
Mustard Prepared,68,667
"Wine - Red, Antinori Santa",58,668
Ice Cream Bar - Oreo Sandwich,25,669
Squid - U - 10 Thailand,27,670
Goldschalger,41,671
Pickles - Gherkins,30,672
Olives - Stuffed,15,673
Lumpfish Black,89,674
Gatorade - Lemon Lime,28,675
Wine - Cava Aria Estate Brut,30,676
Sprouts - Baby Pea Tendrils,17,677
Juice - V8 Splash,59,678
Beer - Blue,36,679
Squash - Guords,93,680
Wine - Tribal Sauvignon,27,681
Nut - Macadamia,4,682
Veal - Leg,100,683
"Wine - Red, Pinot Noir, Chateau",25,684
Pastry - Butterscotch Baked,22,685
Wine - Lamancha Do Crianza,5,686
Chicken - Tenderloin,83,687
Scallops - 20/30,4,688
Corn - On The Cob,31,689
Isomalt,14,690
"Yogurt - Raspberry, 175 Gr",53,691
Towels - Paper / Kraft,35,692
"Fish - Halibut, Cold Smoked",18,693
"Soup - Knorr, Veg / Beef",11,694
"Lemonade - Strawberry, 591 Ml",11,695
Wine - Vineland Estate Semi - Dry,61,696
Beef - Texas Style Burger,43,697
Mayonnaise - Individual Pkg,7,698
Mushroom - White Button,22,699
Avocado,77,700
Chips Potato Swt Chilli Sour,18,701
"Bread - Pumpernickle, Rounds",51,702
Soap - Mr.clean Floor Soap,28,703
Sauce - Hollandaise,55,704
Beets,68,705
Flour - Fast / Rapid,74,706
Flour - Fast / Rapid,88,707
Vinegar - Raspberry,11,708
Milk - Chocolate 250 Ml,24,709
"Beef - Roasted, Cooked",24,710
Beef - Sushi Flat Iron Steak,69,711
Eggplant - Asian,64,712
"Veal - Brisket, Provimi, Bone - In",32,713
Coffee - Frthy Coffee Crisp,38,714
Shrimp - Black Tiger 8 - 12,90,715
Cattail Hearts,21,716
"Beans - Fava, Canned",53,717
Yams,92,718
Cake Sheet Combo Party Pack,44,719
Carbonated Water - Cherry,70,720
Raisin - Golden,3,721
Bay Leaf Ground,57,722
Rhubarb,77,723
Tomato - Plum With Basil,19,724
"Wine - White, Chardonnay",55,725
Tomatillo,95,726
Bread - Assorted Rolls,91,727
Basil - Pesto Sauce,28,728
Ham - Proscuitto,29,729
Pomegranates,34,730
Nestea - Iced Tea,45,731
Mushroom - Crimini,30,732
Soup - Campbells Broccoli,44,733
Cheese - Cream Cheese,24,734
Pork - Ground,53,735
Cinnamon Buns Sticky,11,736
Sausage - Breakfast,10,737
"Fish - Artic Char, Cold Smoked",47,738
Cheese - Perron Cheddar,85,739
Pie Shells 10,8,740
Bag - Clear 7 Lb,39,741
Maintenance Removal Charge,76,742
Sauce - Hp,74,743
Creme De Banane - Marie,46,744
Orange Roughy 4/6 Oz,44,745
Ice Cream Bar - Oreo Sandwich,28,746
Chocolate - Mi - Amere Semi,65,747
Chocolate - Dark,20,748
Muffin Mix - Banana Nut,66,749
Broccoli - Fresh,58,750
"Hickory Smoke, Liquid",29,751
Quinoa,85,752
"Cheese - Havarti, Salsa",76,753
Tomato Puree,17,754
Milk - Chocolate 500ml,2,755
Cabbage - Red,44,756
Capicola - Hot,100,757
Longos - Grilled Chicken With,91,758
Ecolab - Medallion,70,759
Syrup - Monin - Passion Fruit,28,760
Jam - Apricot,32,761
Snapple - Mango Maddness,38,762
Shrimp - Tiger 21/25,13,763
Veal Inside - Provimi,50,764
"Napkin - Cocktail,beige 2 - Ply",94,765
Ham - Virginia,14,766
Eggplant - Baby,5,767
V8 Splash Strawberry Kiwi,62,768
Chinese Foods - Pepper Beef,70,769
Flower - Dish Garden,35,770
Bag - Clear 7 Lb,2,771
"Soup - Campbells, Spinach Crm",90,772
Squid - U 5,1,773
Blueberries,89,774
Tomatoes,71,775
Mousse - Passion Fruit,86,776
Crackers - Trio,36,777
Zucchini - Green,47,778
Godiva White Chocolate,10,779
Jameson - Irish Whiskey,93,780
Chicken - Livers,41,781
Rosemary - Dry,57,782
Cheese - Comtomme,17,783
Oil - Sunflower,32,784
Rice - Wild,93,785
Compound - Pear,42,786
Beef - Top Butt,26,787
"Nut - Pecan, Halves",68,788
Wine - Champagne Brut Veuve,20,789
Dried Cherries,97,790
Carbonated Water - Wildberry,45,791
Wine - Taylors Reserve,15,792
"Juice - Orange, Concentrate",67,793
"Octopus - Baby, Cleaned",3,794
Chicken - Wieners,28,795
Lettuce - Escarole,14,796
Water - San Pellegrino,16,797
Beef - Texas Style Burger,99,798
Wine - Chateauneuf Du Pape,25,799
"Tomatoes - Diced, Canned",32,800
Nantucket - Kiwi Berry Cktl.,13,801
Napkin - Beverage 1 Ply,3,802
Juice - Lemon,66,803
"Trout - Hot Smkd, Dbl Fillet",13,804
Wine - Chianti Classico Riserva,2,805
Pear - Prickly,13,806
Flour - Whole Wheat,55,807
Yogurt - French Vanilla,48,808
Tomato Puree,57,809
"Shrimp - 16/20, Iqf, Shell On",87,810
Ice Cream Bar - Rolo Cone,26,811
"Split Peas - Yellow, Dry",86,812
Glass - Juice Clear 5oz 55005,68,813
Island Oasis - Banana Daiquiri,26,814
Pepper - Pablano,52,815
Vegetable - Base,31,816
Snapple - Mango Maddness,84,817
Water - San Pellegrino,44,818
Cake - Box Window 10x10x2.5,66,819
"Pepsi, 355 Ml",15,820
"Beans - Long, Chinese",28,821
Lemon Tarts,14,822
Lychee,2,823
Bread Sour Rolls,85,824
Cookies - Amaretto,13,825
Cornstarch,14,826
Sauce - Salsa,20,827
Longos - Grilled Salmon With Bbq,14,828
"Tea - Darjeeling, Azzura",87,829
"Wine - Bourgogne 2002, La",10,830
Bacardi Breezer - Tropical,70,831
Milk - 2% 250 Ml,57,832
Sauce - Rosee,28,833
Lettuce - California Mix,32,834
